ans_id,code,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,V090,V091,V092,V093,V094,V095,V002,V003,V004_1,V004_2,V088,V005,V006,V007,V066,V067,V067_o,V008,V012,V010,V010_o,V045,V013_1,V013_2,V013_3,V013_4,V014,V015,V015_o,V016,V017,V018,V019,V019_1,V086_1,V086_2,V086_3,V086_4,V086_5,V086_6,V071,V022,V023_1,V023_2,V023_3,V076,V076_o,V077,V024_1,V024_2,V083,V083_o,V025_1,V025_2,V025_3,V025_4,V025_5,V082,V082_o,V087_1,V087_2,V087_3,V087_4,V087_5,V027_1,V027_2,V027_3,V027_4,V027_5,V028,V085_1,V085_2,V085_3,V085_4,Fout,Fout,Fout,Fout,Fout,Fout,Fout,V038,V039,V041,V048_1,V048_2,V048_3,V048_4,V049,V081,V081_o,V050,V051_1,V051_2,V052_1,V052_2,V052_3,V052_4,V052_5,V053_1,V053_2,V053_3,V053_4,V053_5,V054,V084_1,V084_2,V084_3,V084_4,V064a_1,V064a_2,V064a_3,V064a_4,V064a_5,V064a_6,V064a_7,V064b,V064c,V065,V097,V069,V089,V089_o,V020,V073,V074,V075,V078,V078_o,V079,V079_o,V096a,V096b,V096c,V096d,V096e,V096f,starttime,externalid,verzending,language,referer,completed,survey_panelId,survey_respondentId,survey_lastQuestion
5,32ExHQp7WXK4yGrre2gC9dTeqT,,,,,,,,,,,5,4,6,3,2,1,1,30,2,2,1018,3,5,2,1,5,,1,6,3,0,1,3,3,3,5,6,3,,1,5,2,2,99999,5,5,5,5,1,5,3,7,5,5,5,3,,1,2,2,1,,3,3,4,2,4,99999,1,5,4,5,2,2,5,2,2,4,2,2,4,5,2,4,3,2,2,1,1,0,1,6,Geen idee,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,36,1,6,,2,2,2,2,1,,1,,99999,99999,99999,99999,99999,99999,10-11-2014 18:31,,0,0,https://www.facebook.com/,1,0,0,V9999
7,ePxKEDzhsQ9ZXRBXvEPtyWr9mH,,,,,,,,,,,1,2,1,2,1,3,1,23,1,1,5481,1,5,1,1,1,,1,5,5,0,3,4,5,3,4,6,1,,1,5,2,2,99999,4,2,3,4,3,4,1,7,4,4,4,1,,1,2,2,1,,3,3,4,4,5,4,0,3,3,3,3,4,1,2,3,2,3,2,3,3,4,3,2,4,1,2,0,1,0,1,Sylvie Meis,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,34,1,6,,1,1,2,1,3,,1,,99999,99999,99999,99999,99999,99999,10-11-2014 19:13,,0,0,https://www.facebook.com/,1,0,0,V9999
8,YDpbagmx69zGyQKJAFanXfH8JV,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,22,2,1,5142,1,4,1,1,6,"Katholiek, vanuit school. Niet vanuit thuis.",1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,2,5,2,3,4,9,7,0,3,2,2,3,5,5,2,4,3,2,2,3,3,2,5,1,3,3,2,1,1,2,2,1,1,7,nvt,2,18,1,1,,99999,99999,99999,99999,99999,,99999,,1,6,3,4,5,5,10-11-2014 19:29,,0,0,https://www.facebook.com/,1,0,0,V9999
9,kKjyhzE2xPj5E32Q8dpSHJJTqg,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,21,2,1,3552,3,5,1,1,5,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,4,3,3,2,7,8,0,2,2,2,2,3,4,1,3,5,4,3,2,1,2,3,2,4,2,3,2,2,2,1,0,0,3,Manuel Broekman,1,51,1,3,,99999,99999,99999,99999,99999,,99999,,1,3,2,4,5,1,10-11-2014 19:32,,0,0,https://m.facebook.com/l.php?u=https%3A%2F%2Fdynamic-concepts.socratos.net%2Fdirect%2Fromeo%26julia&h=jAQFHRhKw&enc=AZNJeaw0c6bTUmWtXTIjbTzHGazkfQ0SAyvORdUUo0Y9nN-_j0lneAWA-4V-eiGooM-HQ8yPOcbXpolGJwP21LVi,1,0,0,V9999
12,Fr4nWKyJYcDqK6BECqnq3B2wJ5,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,23,1,1,5268,1,5,1,1,1,,1,2,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,5,3,4,4,8,2,0,4,2,2,3,1,1,3,1,5,4,1,3,5,1,5,5,3,3,1,3,1,3,1,1,0,3,nina dobrev,1,42,1,8,,99999,99999,99999,99999,99999,,99999,,1,3,1,4,1,3,10-11-2014 22:00,,0,0,https://www.facebook.com/,1,0,0,V9999
15,PjcXFmThR7Vrqzx5mXeEaXr2M8,,,,,,,,,,,1,3,3,4,5,3,1,21,1,1,5481,1,5,1,1,1,,1,5,5,0,3,3,4,3,4,3,2,,5,3,1,2,99999,4,3,4,3,2,4,3,8,4,4,4,2,,2,2,2,2,,3,4,4,2,3,8,0,4,3,3,3,2,2,2,2,2,3,2,2,4,2,3,0,5,2,2,0,1,0,3,Jessica-Jane Clement,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,8,2,8,,1,1,2,1,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 9:10,,0,0,https://www.facebook.com/,1,0,0,V9999
23,kRrK82jjBaqpgqCzqyy4wFkcUK,,,,,,,,,,,1,3,1,1,5,4,2,21,2,1,5025,1,5,1,1,5,,1,5,2,0,3,3,1,1,4,3,1,,5,4,1,2,99999,5,3,3,2,1,4,2,10,5,5,2,1,,1,2,2,1,,1,2,5,2,4,10,0,4,4,4,4,1,4,2,4,4,4,1,5,2,1,5,2,1,2,2,0,2,1,7,manuel broekman,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,12,1,6,,1,1,2,2,2,,1,,99999,99999,99999,99999,99999,99999,11-11-2014 11:19,,0,0,https://www.facebook.com/,1,0,0,V9999
32,aYwu5wqdJjyVSUkHhtZpNqKH8n,,,,,,,,,,,1,3,3,3,2,1,2,21,2,2,3552,7,5,1,1,5,,1,5,4,0,3,5,3,4,4,5,2,,5,5,2,2,99999,5,3,5,5,1,5,4,8,4,5,5,3,,2,2,2,2,,3,3,4,1,5,9,0,5,5,5,2,2,2,1,2,3,1,2,4,4,2,1,2,3,2,2,1,0,0,6,Michiel Huisman,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,14,2,6,,1,1,1,1,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 14:25,,0,0,https://www.facebook.com/,1,0,0,V9999
34,RsVZrMamMhuCuSNjj2EUd4y28T,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,21,1,1,5531,1,5,1,1,5,,1,1,1,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,3,3,4,3,5,0,0,2,2,2,2,3,3,2,2,1,4,1,2,2,2,4,4,2,4,3,3,0,3,1,0,0,1,Danielle Campbell,1,3,2,6,,99999,99999,99999,99999,99999,,99999,,5,6,6,4,5,1,11-11-2014 14:35,,0,0,https://www.facebook.com/,1,0,0,V9999
38,PtPf3vNFgyKxrk7NubTABGGgYy,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,23,1,1,7233,3,5,1,1,2,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,2,3,3,3,3,6,99999,1,3,2,2,2,3,2,4,4,4,4,4,2,4,2,4,4,4,2,3,2,0,2,2,1,0,3,liam hemsworth,1,3,1,10,bindingsangst,99999,99999,99999,99999,99999,,99999,,1,3,2,4,5,2,11-11-2014 14:55,,0,0,https://www.facebook.com/,1,0,0,V9999
